"동별","연령별","항목","단위","2024. 4/4","2025. 1/4","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"중구","10~14세","한국인","","2803","2747","4148","3638","3410","3379","3282","3154","3092","3053","2937","2898","2803",
"중구","10~14세","등록외국인","","254","277","120","117","131","165","171","193","196","219","229","246","254",
"중구","15~19세","계","","3604","3532","6026","5791","5640","5229","4964","4662","4006","3698","3785","3711","3604",
"중구","15~19세","한국인","","3080","3162","5754","5467","5123","4750","4411","4154","3681","3421","3385","3258","3080",
"중구","15~19세","등록외국인","","524","370","272","324","517","479","553","508","325","277","400","453","524",
"중구","20~24세","계","","8309","7926","9379","9405","9600","9432","9842","9817","9510","9114","9047","8736","8309",
"중구","20~24세","한국인","","6346","6202","8497","8336","8216","7986","7866","7682","7654","7369","6934","6727","6346",
"중구","20~24세","등록외국인","","1963","1724","882","1069","1384","1446","1976","2135","1856","1745","2113","2009","1963",
"중구","25~29세","계","","12314","12263","10711","10599","10797","11294","11591","12105","12167","12329","12365","12677","12314",
"중구","25~29세","한국인","","10431","10313","9480","9332","9529","10116","10401","10791","10932","10940","10685","10810","10431",
"중구","25~29세","등록외국인","","1883","1950","1231","1267","1268","1178","1190","1314","1235","1389","1680","1867","1883",
"중구","30~34세","계","","13055","12982","12125","11682","11284","10933","11116","11237","11097","11352","11790","12622","13055",
"중구","30~34세","한국인","","12014","11892","11236","10727","10332","9984","10092","10202","10131","10388","10746","11558","12014",
"중구","30~34세","등록외국인","","1041","1090","889","955","952","949","1024","1035","966","964","1044","1064","1041",
"중구","35~39세","계","","10551","10524","10544","10565","10827","11129","11435","11281","10843","10386","10046","10231","10551",
"중구","35~39세","한국인","","9582","9511","9874","9880","10107","10411","10678","10460","9976","9498","9115","9306","9582",
"중구","35~39세","등록외국인","","969","1013","670","685","720","718","757","821","867","888","931","925","969",
"중구","40~44세","계","","9602","9541","11593","10918","10194","9819","9473","9391","9391","9474","9528","9828","9602",
"중구","40~44세","한국인","","8837","8751","10866","10196","9552","9206","8784","8678","8735","8807","8801","9104","8837",
"중구","40~44세","등록외국인","","765","790","727","722","642","613","689","713","656","667","727","724","765",
"중구","45~49세","계","","8238","8232","11074","10994","11310","11296","10902","10531","9920","9183","8586","8302","8238",
"중구","45~49세","한국인","","7579","7538","10292","10240","10542","10595","10184","9813","9276","8572","7967","7665","7579",
"중구","45~49세","등록외국인","","659","694","782","754","768","701","718","718","644","611","619","637","659",
"중구","50~54세","계","","9895","9742","12037","11417","10948","10811","10879","10959","10979","10985","10678","10365","9895",
"중구","50~54세","한국인","","9235","9079","11106","10498","10024","9997","10085","10229","10331","10364","10031","9725","9235",
"중구","50~54세","등록외국인","","660","663","931","919","924","814","794","730","648","621","647","640","660",
"중구","55~59세","계","","9971","9948","11664","11788","11861","11779","11800","11589","11141","10382","10023","9962","9971",
"중구","55~59세","한국인","","9345","9323","10883","10978","11091","11025","10939","10727","10371","9679","9365","9343","9345",
"중구","55~59세","등록외국인","","626","625","781","810","770","754","861","862","770","703","658","619","626",
"중구","60~64세","계","","9942","9913","8004","8486","9183","9515","10053","10324","10431","10406","10251","10152","9942",
"중구","60~64세","한국인","","9568","9481","7733","8181","8818","9185","9656","9918","10051","10072","9847","9763","9568",
"중구","60~64세","등록외국인","","374","432","271","305","365","330","397","406","380","334","404","389","374",
"중구","65~69세","계","","9075","8983","6491","6580","6497","6674","6750","7187","7669","8205","8401","8781","9075",
"중구","65~69세","한국인","","8841","8739","6398","6480","6399","6560","6620","7030","7500","8011","8184","8570","8841",
"중구","65~69세","등록외국인","","234","244","93","100","98","114","130","157","169","194","217","211","234",
"중구","70~74세","계","","6133","6385","5619","5532","5369","5341","5468","5728","5988","5709","5809","5874","6133",
"중구","70~74세","한국인","","6021","6261","5562","5483","5313","5294","5423","5671","5918","5628","5708","5766","6021",
"중구","70~74세","등록외국인","","112","124","57","49","56","47","45","57","70","81","101","108","112",
"중구","75~79세","계","","4865","4913","3866","3935","4161","4576","4682","4756","4858","4634","4587","4754","4865",
"중구","75~79세","한국인","","4824","4859","3833","3902","4127","4538","4641","4709","4815","4593","4553","4725","4824",
"중구","75~79세","등록외국인","","41","54","33","33","34","38","41","47","43","41","34","29","41",
"중구","80~84세","계","","3778","3785","2154","2325","2521","2635","2793","3061","3202","3308","3617","3693","3778",
"중구","80~84세","한국인","","3747","3755","2137","2306","2502","2611","2770","3037","3180","3284","3591","3669","3747",
"중구","80~84세","등록외국인","","31","30","17","19","19","24","23","24","22","24","26","24","31",
"중구","85~89세","계","","2045","2096","1096","1181","1266","1321","1414","1518","1668","1693","1784","1908","2045",
"중구","85~89세","한국인","","2027","2079","1086","1170","1260","1313","1403","1505","1656","1683","1773","1892","2027",
"중구","85~89세","등록외국인","","18","17","10","11","6","8","11","13","12","10","11","16","18",
"중구","90~94세","계","","735","764","456","447","474","508","535","632","700","670","670","709","735",
"중구","90~94세","한국인","","728","756","449","441","469","505","533","631","697","667","666","704","728",
"중구","90~94세","등록외국인","","7","8","7","6","5","3","2","1","3","3","4","5","7",
"중구","95~99세","계","","198","199","148","162","158","163","184","206","205","147","157","172","198",
"중구","95~99세","한국인","","198","197","147","162","158","161","181","204","203","145","157","172","198",
"중구","95~99세","등록외국인","","-","2","1","-","-","2","3","2","2","2","-","-","-",
"중구","100세 이상","계","","24","23","130","140","160","166","179","187","205","26","30","29","24",
"중구","100세 이상","한국인","","22","21","128","137","160","166","179","187","205","26","28","27","22",
"중구","100세 이상","등록외국인","","2","2","2","3","-","-","-","-","-","-","2","2","2",
"용산구","합계","계","","217194","216537","249914","247909","245102","244444","245090","245185","244645","237285","233284","227106","217194",
"용산구","합계","한국인","","203854","203405","235951","233342","230241","229161","228999","228670","230040","222953","218650","213151","203854",
"용산구","합계","등록외국인","","13340","13132","13963","14567","14861","15283","16091","16515","14605","14332","14634","13955","13340",
"용산구","0~4세","계","","5230","5110","9715","9572","9011","8252","7839","7504","6897","6364","6019","5605","5230",
"용산구","0~4세","한국인","","4732","4707","8981","8796","8286","7545","7154","6808","6298","5805","5498","5068","4732",
