district_code,district,year,private_name
11170,용산구,2025,BK FIT
11170,용산구,2025,ROHE
11170,용산구,2025,마이 트레이너 짐(MY TRAINER GYM)
11170,용산구,2025,브이브이아이피 피티샵
11170,용산구,2025,소마톨로지
11170,용산구,2025,인서울핏 헬스&PT
11200,성동구,2000,AII For U GYM
11200,성동구,2004,(주)옥수 투엑스 휘트니스
11200,성동구,2004,스타트 짐
11200,성동구,2004,시티짐 성수점
11200,성동구,2005,라온 휘트니스
11200,성동구,2005,짐아서 휘트니스
11200,성동구,2006,주식회사 아이앤지짐
11200,성동구,2006,해빗피트니스 성수점
11200,성동구,2008,시티짐 답십리점
11200,성동구,2009,포시즌 휘트니스
11200,성동구,2010,노블휘트니스
11200,성동구,2010,시티짐 금호역점
11200,성동구,2010,풍림휘트니스
11200,성동구,2011,고릴라 멀티짐
11200,성동구,2011,왕십리역점 스포애니 (주)케이디헬스케어
11200,성동구,2012,센트리얼 휘트니스 옥수점
11200,성동구,2012,파크짐
11200,성동구,2013,스타트짐
11200,성동구,2014,주식회사 엘투휘트니스
11200,성동구,2014,퀸스테이지
11200,성동구,2014,파크짐
11200,성동구,2014,해빗 피트니스
11200,성동구,2015,건강과땀 휘트니스센타
11200,성동구,2015,에코 휘트니스
11200,성동구,2015,인피니티 퍼스널 트레이닝
11200,성동구,2015,피네테스
11200,성동구,2016,BAN(반)
11200,성동구,2016,레이 휘트니스
11200,성동구,2016,오아시스GYM
11200,성동구,2016,이루어짐 헬스
11200,성동구,2016,허니바디 스포츠
11200,성동구,2017,D_GYM
11200,성동구,2017,센트라스 투엑스 주식회사
11200,성동구,2017,커브스 금호클럽
11200,성동구,2017,테라피티
11200,성동구,2017,피트니스 에이치(Fitness. H)
11200,성동구,2018,(주)넉아웃
11200,성동구,2018,메디앤핏
11200,성동구,2018,무브먼트 프로젝트
11200,성동구,2018,얼라이브짐
11200,성동구,2018,위드짐 금호점(WITHGYM)
11200,성동구,2018,퀄핏 건강운동센터
11200,성동구,2018,크로스핏 핏불
11200,성동구,2019,(주)프롬더바디
11200,성동구,2019,나의 근육 사용설명서
11200,성동구,2019,비 스튜디오(Be studio)
11200,성동구,2019,율 메디컬 트레이닝 센터
11200,성동구,2019,크로스핏 아띠
11200,성동구,2019,파크짐 한양대점
11200,성동구,2019,해빗피트니스 옥수점
11200,성동구,2019,힐앤핏
11200,성동구,2020,(주)운동의 정석
11200,성동구,2020,PND
11200,성동구,2020,ST 요가앤PT
11200,성동구,2020,더바른몸PT
11200,성동구,2020,리커버 필라테스 PT
11200,성동구,2020,빅브로짐 휘트니스 성수점
11200,성동구,2020,빌드업피트니스 &PT 성수역점
11200,성동구,2020,성수역점 스포애니
11200,성동구,2020,알엑스 퍼스널 트레이닝
11200,성동구,2020,에이블짐 한양대점
11200,성동구,2020,"오늘, 운동"
11200,성동구,2020,퀸 스페셜 PT
11200,성동구,2021,PT STUDIO RE . ON
11200,성동구,2021,shut up and squat
11200,성동구,2021,뉴바디필라테스&멀티트레이닝센터
11200,성동구,2021,더 바디 피트니스
11200,성동구,2021,릴리브짐 신당점
11200,성동구,2021,바나나짐
11200,성동구,2021,바른피티
11200,성동구,2021,하이엔드핏 PT
11200,성동구,2022,(주)더에이치에스
11200,성동구,2022,3GYM
11200,성동구,2022,F45
11200,성동구,2022,굿타임 PT
11200,성동구,2022,더컨디셔닝
11200,성동구,2022,동핏
11200,성동구,2022,리메이크 짐
11200,성동구,2022,모스트짐
11200,성동구,2022,뭉트니스 PT & 헬스
11200,성동구,2022,브라보 PT
11200,성동구,2022,와츠핏(What.s fit)
11200,성동구,2022,짐타운
11200,성동구,2022,찬스짐 PT
11200,성동구,2022,프로 짐
11200,성동구,2023,F45
11200,성동구,2023,H-GYM 4호점
11200,성동구,2023,라이프짐
11200,성동구,2023,리피티
